channelNumb	JulianDay	PossibleDecayLength(MicroSeconds)	StartDecay	EndDecay	FirstSignalTimeOverThreshold(nanoseconds)	SecondSignalTimeoverThreshold(nanoseconds)	PossibleDecayNumber
6234.2	2458114	3.72750	0.5557220650062644	0.5557220650494068	14.99	13.75	1
6234.1	2458114	3.70876	0.5557220650064669	0.5557220650493924	5.00	8.74	1
6234.2	2458114	3.70750	0.5557220650064959	0.5557220650494068	11.25	13.75	1
6234.1	2458114	3.45250	0.5561254379472801	0.5561254379872396	21.25	11.25	1
6234.2	2458114	3.45500	0.5561254379474536	0.5561254379874421	13.76	5.01	1
6234.1	2458114	3.42625	0.5561254379475838	0.5561254379872396	12.50	11.25	1
6234.1	2458114	0.45500	0.5592537522070312	0.5592537522122975	13.75	13.75	1
6234.2	2458114	0.45499	0.5592537522070892	0.5592537522123553	21.24	12.50	1
6234.1	2458114	0.43875	0.5592537522072193	0.5592537522122975	6.24	13.75	1
6234.1	2458114	0.94250	0.5596158517222222	0.5596158517331308	14.99	18.75	1
6234.2	2458114	0.94376	0.5596158517223379	0.5596158517332610	17.51	10.00	1
6234.1	2458114	0.92375	0.5596158517224392	0.5596158517331308	6.24	18.75	1
6234.1	2458114	1.23376	0.5598823293431712	0.5598823293574507	18.76	12.50	1
6234.2	2458114	1.23499	0.5598823293432147	0.5598823293575086	22.49	12.51	1
6234.1	2458114	3.78750	0.5601801612435763	0.5601801612874131	13.76	17.51	1
6234.2	2458114	3.78750	0.5601801612436776	0.5601801612875145	20.00	12.50	1
6234.1	2458114	3.76875	0.5601801612437933	0.5601801612874131	8.76	17.51	1
6234.1	2458114	1.47874	0.5604997890679543	0.5604997890850694	21.25	12.50	1
6234.2	2458114	1.47751	0.5604997890680266	0.5604997890851273	20.00	12.50	1
6234.1	2458114	4.95125	0.5606152337630642	0.5606152338203704	14.99	22.50	1
6234.2	2458114	4.95375	0.5606152337631655	0.5606152338205005	21.25	15.00	1
6234.1	2458114	4.93001	0.5606152337633101	0.5606152338203704	10.00	22.50	1
6234.1	2458114	1.23874	0.5607326330692419	0.5607326330835792	19.99	25.01	1
6234.2	2458114	1.24000	0.5607326330692998	0.5607326330836516	20.00	21.25	1
6234.1	2458114	1.58000	0.5611093504018374	0.5611093504201244	23.74	17.49	1
6234.2	2458114	1.57875	0.5611093504018952	0.5611093504201679	25.00	18.74	1
6234.1	2458114	3.77000	0.5624711235990886	0.5624711236427228	18.74	17.51	1
6234.2	2458114	3.76750	0.5624711235992187	0.5624711236428240	10.00	12.50	1
6234.1	2458114	0.74750	0.5627533932025897	0.5627533932112413	13.75	17.51	1
6234.2	2458114	0.75125	0.5627533932027343	0.5627533932114294	13.75	10.00	1
6234.1	2458114	4.66624	0.5633766709638310	0.5633766710178385	17.50	11.25	1
6234.2	2458114	4.66875	0.5633766709639901	0.5633766710180266	18.75	7.50	1
6234.1	2458114	0.62000	0.5638114954316695	0.5638114954388455	12.50	8.75	1
6234.2	2458114	0.62000	0.5638114954317129	0.5638114954388889	27.50	11.25	1
6234.1	2458114	0.60250	0.5638114954318720	0.5638114954388455	10.00	8.75	1
6234.1	2458114	0.72000	0.5644426025663628	0.5644426025746961	16.25	11.25	1
6234.2	2458114	0.72126	0.5644426025665075	0.5644426025748553	18.75	11.24	1
6234.1	2458114	0.69625	0.5644426025666377	0.5644426025746961	8.76	11.25	1
6234.1	2458114	2.54500	0.5650130510765914	0.5650130511060474	15.00	13.76	1
6234.2	2458114	2.54500	0.5650130510766638	0.5650130511061198	22.50	12.50	1
6234.1	2458114	2.52749	0.5650130510767940	0.5650130511060474	7.49	13.76	1
6234.1	2458114	0.33251	0.5656350970505787	0.5656350970544272	13.75	13.74	1
6234.2	2458114	0.33499	0.5656350970506511	0.5656350970545283	22.49	10.00	1
6234.1	2458114	0.31501	0.5656350970507812	0.5656350970544272	10.00	13.74	1
6234.1	2458114	8.85875	0.5665587075368345	0.5665587076393663	22.49	13.75	1
6234.2	2458114	8.85875	0.5665587075368779	0.5665587076394097	25.00	16.25	1
6234.1	2458114	2.88374	0.5672484946757089	0.5672484947090856	14.99	20.00	1
6234.2	2458114	2.88500	0.5672484946758246	0.5672484947092158	18.75	12.50	1
6234.1	2458114	2.86125	0.5672484946759693	0.5672484947090856	10.00	20.00	1
6234.1	2458114	1.53874	0.5673131017677517	0.5673131017855613	21.25	17.51	1
6234.2	2458114	1.53875	0.5673131017677950	0.5673131017856047	23.76	22.50	1
6234.1	2458114	3.80126	0.5677162040559026	0.5677162040998986	12.51	17.50	1
6234.2	2458114	3.80249	0.5677162040559461	0.5677162040999565	26.25	18.75	1
6234.1	2458114	3.78375	0.5677162040561052	0.5677162040998986	6.25	17.50	1
6234.1	2458114	0.77250	0.5685995642137007	0.5685995642226417	20.01	22.50	1
6234.2	2458114	0.77624	0.5685995642138021	0.5685995642227863	27.49	12.51	1
6234.1	2458114	0.56374	0.5692615704704717	0.5692615704769964	14.99	11.25	1
6234.2	2458114	0.56374	0.5692615704705295	0.5692615704770543	16.24	7.50	1
6234.1	2458114	0.77501	0.5695757221039784	0.5695757221129485	12.51	17.50	1
6234.2	2458114	0.77501	0.5695757221040074	0.5695757221129775	28.75	22.48	1
6234.1	2458114	0.75500	0.5695757221042100	0.5695757221129485	7.50	17.50	1
6234.1	2458114	1.43625	0.5707243298150463	0.5707243298316695	15.00	22.50	1
6234.2	2458114	1.43626	0.5707243298151041	0.5707243298317275	26.25	22.49	1
6234.1	2458114	0.88749	0.5722398384528791	0.5722398384631510	21.24	20.00	1
6234.2	2458114	0.88750	0.5722398384529513	0.5722398384632233	18.75	17.50	1
6234.1	2458114	0.47625	0.5729577098062499	0.5729577098117621	21.26	12.51	1
6234.2	2458114	0.47626	0.5729577098063078	0.5729577098118200	21.26	11.24	1
6234.1	2458114	1.41124	0.5748885410239728	0.5748885410403066	13.75	13.76	1
6234.2	2458114	1.41000	0.5748885410241029	0.5748885410404224	12.51	18.75	1
6234.1	2458114	1.39499	0.5748885410241609	0.5748885410403066	6.25	13.76	1
6234.1	2458114	3.76249	0.5751470561811343	0.5751470562246817	18.74	23.75	1
6234.2	2458114	3.76375	0.5751470561812644	0.5751470562248263	10.00	12.51	1
6234.1	2458114	5.79125	0.5760970363640769	0.5760970364311053	22.50	16.25	1
6234.2	2458114	5.79250	0.5760970363641348	0.5760970364311776	21.25	12.51	1
6234.1	2458114	0.75000	0.5771060912648003	0.5771060912734809	20.00	5.00	1
6234.2	2458114	0.74875	0.5771060912648293	0.5771060912734953	14.99	13.75	1
6234.1	2458114	0.74750	0.5782830132415654	0.5782830132502170	13.75	10.00	1
6234.2	2458114	0.74874	0.5782830132416088	0.5782830132502748	25.00	8.76	1
6234.1	2458114	0.73000	0.5782830132417679	0.5782830132502170	7.50	10.00	1
6234.1	2458114	0.60000	0.5783245109152343	0.5783245109221787	18.75	21.26	1
6234.2	2458114	0.60001	0.5783245109152777	0.5783245109222223	21.26	23.74	1
6234.1	2458114	2.39250	0.5785552063294126	0.5785552063571036	12.50	8.76	1
6234.2	2458114	2.39250	0.5785552063294415	0.5785552063571324	28.76	12.51	1
6234.1	2458114	2.37626	0.5785552063296006	0.5785552063571036	8.76	8.76	1
6234.1	2458114	3.13501	0.5798342159140045	0.5798342159502894	15.00	18.74	1
6234.2	2458114	3.13625	0.5798342159141493	0.5798342159504485	17.50	8.76	1
6234.1	2458114	3.11251	0.5798342159142650	0.5798342159502894	11.25	18.74	1
6234.1	2458114	2.55626	0.5806230049670428	0.5806230049966291	20.00	18.74	1
6234.2	2458114	2.55500	0.5806230049671296	0.5806230049967014	18.75	18.75	1
6234.1	2458114	1.16749	0.5815194134876881	0.5815194135012007	13.74	15.00	1
6234.2	2458114	1.16875	0.5815194134877459	0.5815194135012731	23.74	13.76	1
6234.1	2458114	3.27375	0.5815812448004775	0.5815812448383680	13.75	20.00	1
6234.2	2458114	3.27376	0.5815812448005208	0.5815812448384114	22.51	21.25	1
6234.1	2458114	3.25875	0.5815812448006510	0.5815812448383680	7.50	20.00	1
6234.1	2458114	5.68875	0.5820235780993345	0.5820235781651765	13.75	13.75	1
6234.2	2458114	5.69000	0.5820235780994791	0.5820235781653356	14.99	11.25	1
6234.1	2458114	5.66625	0.5820235780995948	0.5820235781651765	6.25	13.75	1
6234.1	2458114	2.11125	0.5827034063132088	0.5827034063376446	16.25	21.26	1
6234.2	2458114	2.11000	0.5827034063133536	0.5827034063377748	16.24	11.25	1
6234.1	2458114	2.08875	0.5827034063134693	0.5827034063376446	7.50	21.26	1
6234.1	2458114	1.80875	0.5838034184047020	0.5838034184256365	18.75	12.50	1
